Number,Movie,Year,Length (min),Rank,IMDb Rating,Vote count
186,Barry Lyndon,1975,185,PG,8.1,196000
187,Children of Heaven,1997,89,PG,8.2,87000
188,Hacksaw Ridge,2016,139,R,8.1,648000
189,The Grand Budapest Hotel,2014,99,R,8.1,936000
190,12 Years a Slave,2013,134,R,8.1,770000
191,Before Sunrise,1995,101,R,8.1,364000
192,Spider-Man: No Way Home,2021,148,PG-13,8.2,969000
193,Blade Runner,1982,117,R,8.1,861000
194,Memories of Murder,2003,132,Not Rated,8.1,248000
195,Gone Girl,2014,149,R,8.1,1100000
196,Ratatouille,2007,111,G,8.1,900000
197,How to Train Your Dragon,2010,98,PG,8.1,862000
198,"Monsters, Inc.",2001,92,G,8.1,1000000
199,In the Name of the Father,1993,133,R,8.1,198000
200,Jaws,1975,124,PG,8.1,710000
201,Wild Tales,2014,122,R,8.1,231000
202,The Gold Rush,1925,95,Approved,8.1,125000
203,Ford v Ferrari,2019,152,PG-13,8.1,537000
204,Sherlock Jr.,1924,45,Passed,8.1,63000
205,Mary and Max,2009,92,Not Rated,8.1,198000
206,The Deer Hunter,1978,183,R,8.1,378000
207,The Wages of Fear,1953,156,Not Rated,8.1,71000
208,The General,1926,78,Passed,8.1,104000
209,Mr. Smith Goes to Washington,1939,129,Approved,8.1,127000
210,On the Waterfront,1954,108,Approved,8.1,174000
211,Logan,2017,137,R,8.1,900000
212,Rocky,1976,120,PG,8.1,667000
213,Wild Strawberries,1957,92,Not Rated,8.1,122000
214,Tokyo Story,1953,137,Not Rated,8.1,75000
215,The Third Man,1949,104,Approved,8.1,191000
216,Spotlight,2015,129,R,8.1,523000
217,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,1300000
218,Maharaja,2024,141,R,8.4,73000
219,The Terminator,1984,107,R,8.1,974000
220,The Big Lebowski,1998,117,R,8.1,897000
221,La haine,1995,98,Not Rated,8.1,215000
222,The Seventh Seal,1957,96,Not Rated,8.1,211000
223,Room,2015,118,R,8.1,471000
224,Jai Bhim,2021,164,Approved,8.6,228000
225,Hotel Rwanda,2004,121,PG-13,8.1,386000
226,Platoon,1986,120,R,8.1,460000
227,The Best Years of Our Lives,1946,170,Approved,8.1,76000
228,Before Sunset,2004,80,R,8.1,305000
229,The Sound of Music,1965,172,G,8.1,280000
230,The Exorcist,1973,122,R,8.1,483000
231,The Incredibles,2004,115,PG,8.0,866000
232,Hachi: A Dog's Tale,2009,93,G,8.1,332000
233,Rush,2013,123,R,8.1,542000
234,The Wizard of Oz,1939,102,G,8.1,455000
235,The Passion of Joan of Arc,1928,114,Passed,8.1,66000
236,Stand by Me,1986,89,R,8.1,470000
237,A Silent Voice: The Movie,2016,130,Not Rated,8.1,126000
238,The Iron Giant,1999,86,PG,8.1,249000
239,My Father and My Son,2005,112,Not Rated,8.2,98000
240,Network,1976,121,R,8.1,181000
241,The Handmaiden,2016,145,Not Rated,8.1,192000
242,The Battle of Algiers,1966,121,Not Rated,8.1,72000
243,The Grapes of Wrath,1940,129,Approved,8.1,106000
244,To Be or Not to Be,1942,99,Approved,8.1,48000
245,Into the Wild,2007,148,R,8.0,684000
246,Groundhog Day,1993,101,PG,8.0,723000
247,The Help,2011,146,PG-13,8.1,517000
248,Drishyam,2015,163,Not Rated,8.2,103000
249,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117,TV-MA,8.2,88000
250,Gangs of Wasseypur,2012,321,Not Rated,8.2,109000
